xmin=-15,xmax=15
ymin=-22.5,ymax=22.5
zmin=-12.5,zmax=12.5
5.059999, -22.11, -10.788
5.17, -22.11, -10.828
5.280001, -22.11, -10.89
5.389999, -22.11, -10.937
5.5, -22.11, -11.007
5.610001, -22.11, -11.071
5.719999, -22.11, -11.128
5.83, -22.11, -11.179
5.940001, -22.11, -11.225
6.049999, -22.11, -11.275
6.16, -22.11, -11.321
6.27, -22.11, -11.388
6.380001, -22.11, -11.456
6.49, -22.11, -11.505
6.6, -22.11, -11.548
6.710001, -22.11, -11.605
6.82, -22.11, -11.661
6.93, -22.11, -11.716
7.040001, -22.11, -11.782
7.15, -22.11, -11.846
7.26, -22.11, -11.893
7.370001, -22.11, -11.947
7.48, -22.11, -11.99
7.59, -22.11, -12.037
7.700001, -22.11, -12.086
7.809999, -22.11, -12.15
7.92, -22.11, -12.222
8.030001, -22.11, -12.285
8.139999, -22.11, -12.329
8.25, -22.11, -12.369
8.360001, -22.11, -12.406
8.469999, -22.11, -12.476
-9.9, -22, -3.828
-9.79, -22, -3.864
-9.68, -22, -3.905
-9.57, -22, -3.98
-9.459999, -22, -4.04
-9.35, -22, -4.069
-9.24, -22, -4.111
-9.129999, -22, -4.156
-9.02, -22, -4.183
-8.91, -22, -4.248
-8.799999, -22, -4.301
-8.69, -22, -4.371
-8.58, -22, -4.413
-8.469999, -22, -4.447
-8.36, -22, -4.501
-8.25, -22, -4.552
-8.139999, -22, -4.602
-8.03, -22, -4.629
-7.92, -22, -4.686
-7.81, -22, -4.723
-7.7, -22, -4.763
-7.59, -22, -4.833
-7.48, -22, -4.891
-7.37, -22, -4.924
-7.26, -22, -4.983
-7.15, -22, -5.017
-7.04, -22, -5.055
-6.929999, -22, -5.104
-6.82, -22, -5.144
-6.71, -22, -5.206
-6.599999, -22, -5.255
-6.49, -22, -5.311
-6.38, -22, -5.358
-6.27, -22, -5.398
-6.16, -22, -5.443
-6.05, -22, -5.504
-5.94, -22, -5.578
-5.83, -22, -5.628
-5.719999, -22, -5.637
-5.61, -22, -5.679
-5.5, -22, -5.732
-5.389999, -22, -5.786
-5.28, -22, -5.847
-5.17, -22, -5.896
-5.059999, -22, -5.938
-4.95, -22, -6.004
-4.84, -22, -6.052001
-4.73, -22, -6.081
-4.62, -22, -6.136
-4.51, -22, -6.192
-4.4, -22, -6.246
-4.29, -22, -6.291
-4.179999, -22, -6.35
-4.07, -22, -6.405
-3.96, -22, -6.465
-3.849999, -22, -6.525
-3.74, -22, -6.529
-3.63, -22, -6.608
-3.52, -22, -6.647
-3.41, -22, -6.705
-3.3, -22, -6.73
-3.19, -22, -6.788
-1.21, -22, -7.692
-1.099999, -22, -7.763
-0.9899998, -22, -7.805
-0.8800001, -22, -7.864
-0.7699995, -22, -7.903
-0.6599998, -22, -7.967
-0.5500002, -22, -8.018001
-0.4399996, -22, -8.069
-0.3299999, -22, -8.119
-0.2199993, -22, -8.168
-0.1099997, -22, -8.216001
0, -22, -8.273001
0.1100006, -22, -8.327001
0.2200003, -22, -8.371
0.3299999, -22, -8.425
0.4400005, -22, -8.479
0.5500002, -22, -8.534
0.6599998, -22, -8.589001
0.7700005, -22, -8.633
0.8800001, -22, -8.701
0.9899998, -22, -8.757
1.1, -22, -8.806001
1.210001, -22, -8.872001
1.32, -22, -8.917001
1.43, -22, -8.974
1.540001, -22, -9.039001
1.65, -22, -9.093
1.76, -22, -9.14
1.870001, -22, -9.189
1.98, -22, -9.241
2.09, -22, -9.301001
2.200001, -22, -9.347
2.309999, -22, -9.401
2.42, -22, -9.461
2.530001, -22, -9.522
2.639999, -22, -9.573001
2.75, -22, -9.635
2.860001, -22, -9.687
2.969999, -22, -9.740001
3.08, -22, -9.802
3.190001, -22, -9.868
3.300001, -22, -9.914001
3.41, -22, -9.950001
3.52, -22, -10.009
3.630001, -22, -10.079
3.74, -22, -10.133
3.85, -22, -10.17
3.960001, -22, -10.243
4.07, -22, -10.294
4.18, -22, -10.35
4.290001, -22, -10.399
4.4, -22, -10.443
4.51, -22, -10.496
4.620001, -22, -10.555
4.73, -22, -10.609
4.84, -22, -10.662
4.950001, -22, -10.722
5.059999, -22, -10.78
5.17, -22, -10.833
5.280001, -22, -10.881
5.389999, -22, -10.93
5.5, -22, -10.999
5.610001, -22, -11.054
5.719999, -22, -11.111
5.83, -22, -11.167
5.940001, -22, -11.214
6.049999, -22, -11.273
6.16, -22, -11.321
6.27, -22, -11.376
6.380001, -22, -11.42
6.49, -22, -11.489
6.6, -22, -11.547
6.710001, -22, -11.607
6.82, -22, -11.666
6.93, -22, -11.721
7.040001, -22, -11.781
7.15, -22, -11.846
7.26, -22, -11.899
7.370001, -22, -11.94
7.48, -22, -11.987
7.59, -22, -12.049
7.700001, -22, -12.112
7.809999, -22, -12.164
7.92, -22, -12.213
8.030001, -22, -12.271
8.139999, -22, -12.335
8.25, -22, -12.383
8.360001, -22, -12.404
8.469999, -22, -12.48
-10.12, -21.89, -3.673
-10.01, -21.89, -3.775
-9.9, -21.89, -3.821
-9.79, -21.89, -3.866
-9.68, -21.89, -3.905
